Year,City,Temperature_C
1950,Mumbai,26.97
1950,Chennai,37.22
1950,Kolkata,31.47
1950,Bengaluru,16.26
1950,Hyderabad,9.2
1950,Pune,29.43
1950,Ahmedabad,16.53
1950,Jaipur,37.17
1950,Surat,26.3
1950,Lucknow,17.82
1950,Kanpur,34.41
1950,Nagpur,33.63
1950,Indore,16.19
1950,Bhopal,12.18
1950,Patna,9.57
1950,Ludhiana,26.57
1950,Agra,33.55
1950,Nashik,31.12
1950,Meerut,44.71
1950,Kalyan-Dombivli,32.4
1950,Vasai-Virar,20.61
1950,Aurangabad,13.4
1950,Dhanbad,11.18
1950,Amritsar,42.44
1950,Prayagraj,40.16
1950,Howrah,20.34
1950,Gwalior,13.56
1950,Jabalpur,34.48
1950,Coimbatore,24.15
1950,Vijayawada,16.86
1950,Jodhpur,27.59
1950,Madurai,16.97
1950,Kota,21.15
1950,Guwahati,18.34
1950,Chandigarh,14.46
1950,Solapur,33.83
1950,Hubli-Dharwad,30.86
1950,Mysuru,13.82
1951,New Delhi,36.66
1951,Mumbai,30.12
1951,Chennai,21.56
1951,Kolkata,36.34
1951,Bengaluru,12.02
1951,Hyderabad,43.25
1951,Pune,33.95
1951,Ahmedabad,36.31
1951,Jaipur,27.2
1951,Lucknow,40.32
1951,Kanpur,21.87
1951,Nagpur,12.42
1951,Indore,5.17
1951,Visakhapatnam,28.56
1951,Patna,22.49
1951,Ghaziabad,26.06
1951,Ludhiana,34.03
1951,Agra,36.4
1951,Nashik,14.81
1951,Meerut,8.48
1951,Rajkot,32.99
1951,Kalyan-Dombivli,27.64
1951,Varanasi,38.39
1951,Srinagar,23.89
1951,Aurangabad,44.76
1951,Amritsar,35.49
1951,Navi Mumbai,36.15
1951,Howrah,20.68
1951,Gwalior,45.31
1951,Vijayawada,35.89
1951,Jodhpur,17.67
1951,Madurai,11.74
1951,Raipur,32.53
1951,Kota,13.22
1951,Solapur,45.08
1951,Hubli-Dharwad,18.96
1951,Mysuru,30.17
1952,New Delhi,43.94
1952,Mumbai,36.61
1952,Kolkata,32.81
1952,Bengaluru,28.62
1952,Hyderabad,41.41
1952,Pune,28.16
1952,Ahmedabad,12.02
1952,Jaipur,36.6
1952,Surat,35.42
1952,Lucknow,33.94
1952,Kanpur,11.06
1952,Indore,28.01
1952,Thane,37.2
1952,Bhopal,42.15
1952,Patna,12.06
1952,Vadodara,17.66
1952,Ludhiana,38.79
1952,Agra,9.76
1952,Nashik,22.53
1952,Ranchi,10.1
1952,Meerut,43.23
1952,Rajkot,45.41
1952,Kalyan-Dombivli,34.97
1952,Varanasi,5.09
1952,Srinagar,-1.03
1952,Aurangabad,10.15
1952,Amritsar,8.56
1952,Navi Mumbai,35.68
1952,Prayagraj,42.38
1952,Howrah,26.87
1952,Gwalior,8.49
1952,Jabalpur,36.31
1952,Coimbatore,15.75
1952,Jodhpur,34.76
1952,Madurai,19.79
1952,Kota,11.82
1952,Guwahati,14.13
1952,Chandigarh,32.48
1952,Solapur,28.79
1952,Hubli-Dharwad,33.03
1952,Mysuru,24.45
1953,New Delhi,32.15
1953,Mumbai,27.69
1953,Chennai,36.6
1953,Kolkata,20.96
1953,Bengaluru,25.68
1953,Pune,14.47
1953,Ahmedabad,16.95
1953,Jaipur,45.9
1953,Surat,25.37
1953,Lucknow,32.79
1953,Kanpur,38.2
1953,Nagpur,13.6
1953,Indore,36.92
1953,Thane,24.95
1953,Bhopal,35.37
1953,Patna,43.59
1953,Vadodara,44.87
1953,Ghaziabad,40.66
1953,Ludhiana,9.48
1953,Agra,30.9
1953,Nashik,13.35
1953,Ranchi,42.55
1953,Faridabad,31.74
1953,Meerut,22.65
1953,Rajkot,42.33
1953,Kalyan-Dombivli,20.95
1953,Vasai-Virar,34.49
1953,Varanasi,46.92
1953,Srinagar,18.26
1953,Aurangabad,19.19
1953,Dhanbad,34.97
1953,Amritsar,16.02
1953,Navi Mumbai,26.71
1953,Prayagraj,29.62
1953,Howrah,37.35
1953,Jabalpur,43.14
1953,Coimbatore,16.27
1953,Vijayawada,16.28
1953,Chandigarh,14.1
1953,Solapur,34.01
1953,Mysuru,17.71
1954,New Delhi,31.28
1954,Mumbai,21.46
1954,Chennai,33.92
1954,Kolkata,21.3
1954,Bengaluru,21.35
1954,Hyderabad,26.51
1954,Pune,34.93
1954,Ahmedabad,46.84
1954,Jaipur,24.13
1954,Surat,28.97
1954,Kanpur,6.68
1954,Nagpur,15.8
1954,Indore,8.28
1954,Thane,33.21
1954,Bhopal,7.32
1954,Visakhapatnam,29.33
1954,Patna,21.69
1954,Vadodara,19.91
1954,Ghaziabad,16.89
1954,Agra,4.47
1954,Nashik,17.23
1954,Meerut,10.9
1954,Rajkot,22.45
1954,Kalyan-Dombivli,34.2
1954,Vasai-Virar,37.06
1954,Varanasi,41.44
1954,Srinagar,15.97
1954,Aurangabad,27.65
1954,Dhanbad,31.95
1954,Amritsar,5.92
1954,Navi Mumbai,22.22
1954,Prayagraj,24.13
1954,Gwalior,12.01
1954,Jabalpur,22.02
1954,Coimbatore,32.93
1954,Vijayawada,11.98
1954,Jodhpur,14.76
1954,Madurai,11.43
1954,Raipur,10.56
1954,Kota,29.0
1954,Guwahati,44.02
1954,Chandigarh,19.95
1954,Solapur,36.93
1954,Mysuru,26.89
1955,New Delhi,43.01
1955,Mumbai,36.65
1955,Kolkata,33.12
1955,Bengaluru,26.54
1955,Hyderabad,15.7
1955,Ahmedabad,19.31
1955,Jaipur,9.66
1955,Surat,36.53
1955,Lucknow,8.18
1955,Kanpur,41.46
1955,Nagpur,14.2
1955,Indore,11.1
1955,Bhopal,21.15
1955,Patna,33.52
1955,Vadodara,43.54
1955,Ludhiana,18.14
1955,Agra,28.37
1955,Nashik,33.06
1955,Ranchi,37.17
1955,Faridabad,18.41
1955,Meerut,39.16
1955,Rajkot,37.73
1955,Kalyan-Dombivli,34.3
1955,Vasai-Virar,24.39
1955,Aurangabad,24.02
1955,Dhanbad,39.45
1955,Amritsar,33.04
1955,Prayagraj,21.88
1955,Howrah,36.26
1955,Gwalior,5.31
1955,Jabalpur,8.88
1955,Coimbatore,19.36
1955,Jodhpur,16.78
1955,Madurai,33.49
1955,Chandigarh,11.84
1955,Solapur,26.17
1956,New Delhi,41.77
1956,Mumbai,21.98
1956,Chennai,29.85
1956,Kolkata,23.69
1956,Bengaluru,17.81
1956,Hyderabad,13.83
1956,Jaipur,40.38
1956,Surat,34.49
1956,Lucknow,9.01
1956,Kanpur,40.31
1956,Nagpur,45.49
1956,Indore,19.38
1956,Thane,36.41
1956,Bhopal,21.98
1956,Visakhapatnam,28.96
1956,Patna,5.94
1956,Vadodara,10.45
1956,Ghaziabad,24.1
1956,Nashik,31.3
1956,Ranchi,10.45
1956,Faridabad,45.56
1956,Meerut,41.23
1956,Rajkot,44.91
1956,Vasai-Virar,34.25
1956,Srinagar,22.76
1956,Aurangabad,5.46
1956,Amritsar,28.52
1956,Navi Mumbai,26.27
1956,Prayagraj,37.13
1956,Howrah,21.99
1956,Gwalior,7.2
1956,Vijayawada,39.21
1956,Jodhpur,25.19
1956,Madurai,16.8
1956,Raipur,5.02
1956,Kota,36.25
1956,Guwahati,33.26
1956,Chandigarh,16.96
1956,Solapur,15.07
1956,Hubli-Dharwad,29.69
1957,New Delhi,13.98
1957,Mumbai,30.71
1957,Chennai,23.33
1957,Kolkata,28.09
1957,Bengaluru,25.01
1957,Pune,19.76
1957,Jaipur,27.37
1957,Surat,28.86
1957,Lucknow,32.42
1957,Kanpur,14.06
1957,Nagpur,32.43
1957,Indore,23.59
1957,Thane,25.23
1957,Patna,42.54
1957,Ludhiana,20.51
1957,Agra,4.46
1957,Nashik,21.42
1957,Ranchi,33.78
1957,Faridabad,29.77
1957,Meerut,37.03
1957,Rajkot,4.7
1957,Kalyan-Dombivli,25.19
1957,Vasai-Virar,31.46
1957,Aurangabad,32.61
1957,Dhanbad,37.28
1957,Amritsar,37.18
1957,Navi Mumbai,33.57
1957,Prayagraj,10.5
1957,Howrah,24.46
1957,Gwalior,6.94
1957,Coimbatore,29.57
1957,Vijayawada,38.37
1957,Jodhpur,20.95
1957,Madurai,35.84
1957,Kota,7.99
1957,Guwahati,37.3
